ID,tsne_1,tsne_2
41681,39.07105,31.854927
108014,10.197734,47.696186
34406,62.59485,4.714418
93674,-5.191921,15.537759
133927,-44.858246,29.366531
43837,51.043266,-15.820873
39556,-45.94818,34.892902
36449,-25.121243,-54.7091
106746,57.38975,-19.123594
35760,12.986638,-39.15151
39474,-73.67019,13.527823
188798,63.44178,-23.54264
18296,15.218635,21.45261
188497,30.212442,60.702923
198929,-77.15239,-24.32176
202707,13.927867,-3.878785
10930,-51.302105,3.7929654
151312,-10.517571,61.253338
107242,-48.840733,9.410004
43696,14.244591,-6.4049397
75659,-45.25729,-6.164782
156854,-14.738158,66.16266
141567,-1.5807548,19.698166
153468,27.10628,29.925148
91934,22.366053,45.43109
137639,33.393303,57.097195
166355,-34.797268,19.248259
184979,26.290493,-29.50008
191941,-14.778848,14.989947
193609,-63.591366,34.828125
146028,41.305607,7.5062666
197161,48.23005,-10.510264
131552,1.5523537,-36.85853
30713,-40.164524,27.954674
21872,57.386505,42.817165
25111,39.55059,-0.34305242
130590,-28.919836,14.939642
131909,-47.947536,-15.491243
17029,-4.717464,-23.936392
33702,-61.7513,-45.695675
87214,7.215208,15.362314
136218,-29.777172,-50.93298
77311,94.52952,-5.0586143
144840,-1.0723909,19.731733
109201,37.028393,-13.810347
193395,85.21318,14.160223
119335,-57.92776,-9.419953
141575,5.3130603,16.574059
41709,-53.091408,-47.317173
20109,55.04143,27.663832
113504,13.827048,-21.404253
122953,-50.22548,-17.501175
109262,3.899728,-31.565603
28811,-39.69643,31.099815
40206,-0.10337249,-25.780521
22341,-31.551125,47.69014
195736,20.146156,8.063132
58507,-34.925182,-51.591953
82993,17.84822,10.862331
124325,-28.821316,-3.0539596
63603,-27.189896,-49.86116
129389,-43.6079,29.641317
170497,-25.37627,-22.967299
165975,14.7342,24.075937
39449,-9.276416,59.403572
143509,18.902832,5.0377893
165033,35.993114,-13.089555
77005,-29.811853,-4.5550923
31889,20.699738,19.961367
1901,12.692542,-35.58591
184284,4.63923,-4.986121
129846,60.168617,7.310129
89287,3.3010945,41.224377
186059,-4.119336,-69.78716
